                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53554,                 3.9772,                 1.0876,                0.35717,                0.47364,                0.37696,                0.34888,                0.43754,                 2.6472,                 1.1203,             8.3185e-05,             8.3185e-05,             8.3185e-05
                      2,                0.45684,                 3.1057,                 1.0179,                0.75034,                0.64539,                0.78335,                0.74163,                0.39059,                 1.4845,                 1.0465,             0.00015992,             0.00015992,             0.00015992
                      3,                0.44319,                   2.46,                 1.0037,                0.75749,                0.87002,                0.93788,                0.88561,                 0.3831,                 1.1017,                 1.0434,             0.00023006,             0.00023006,             0.00023006
                      4,                0.42538,                 2.0181,                0.98763,                0.89467,                0.98549,                0.98906,                0.94538,                0.36152,                0.88576,                 1.0198,              0.0002203,              0.0002203,              0.0002203
                      5,                0.40305,                 1.7562,                 0.9809,                0.90406,                0.97168,                  0.995,                0.95791,                0.33083,                0.84914,                0.98377,              0.0002203,              0.0002203,              0.0002203
                      6,                0.38481,                 1.5369,                 0.9664,                0.90967,                0.99292,                  0.995,                0.96358,                0.32821,                0.76809,                0.98128,              0.0002104,              0.0002104,              0.0002104
                      7,                 0.3759,                 1.3714,                0.95622,                0.95457,                      1,                 0.9927,                0.96655,                0.31715,                0.60734,                0.96698,              0.0002005,              0.0002005,              0.0002005
                      8,                0.36682,                 1.2544,                0.95365,                0.97355,                0.99375,                  0.995,                0.96457,                0.32111,                0.56483,                0.97816,              0.0001906,              0.0001906,              0.0001906
                      9,                0.36678,                 1.1543,                0.95577,                0.97811,                0.99859,                  0.995,                0.96709,                0.29859,                0.50581,                0.94827,              0.0001807,              0.0001807,              0.0001807
                     10,                0.35916,                 1.0646,                0.95208,                0.93899,                0.99527,                  0.995,                0.97406,                0.29773,                0.47961,                0.94054,              0.0001708,              0.0001708,              0.0001708
                     11,                0.34109,                0.98131,                0.94412,                0.97089,                0.99518,                  0.995,                0.97088,                0.29566,                 0.4634,                0.93343,              0.0001609,              0.0001609,              0.0001609
                     12,                0.34116,                0.92799,                0.94088,                0.97374,                      1,                  0.995,                0.97701,                 0.2778,                0.43416,                0.92522,               0.000151,               0.000151,               0.000151
                     13,                0.33506,                0.88901,                0.93632,                0.95345,                0.99208,                  0.995,                0.97906,                0.26083,                0.40988,                0.90875,              0.0001411,              0.0001411,              0.0001411
                     14,                 0.3333,                 0.8478,                0.93646,                0.98388,                0.99219,                  0.995,                0.97833,                0.26389,                0.39435,                0.91441,              0.0001312,              0.0001312,              0.0001312
                     15,                0.33122,                0.81361,                 0.9372,                0.96255,                0.99494,                  0.995,                0.97668,                0.26283,                0.39083,                0.92088,              0.0001213,              0.0001213,              0.0001213
                     16,                0.23631,                0.75573,                0.93072,                0.96096,                0.99931,                  0.995,                0.97841,                0.25993,                0.37207,                0.90593,              0.0001114,              0.0001114,              0.0001114
                     17,                0.22374,                0.67343,                0.91548,                0.98487,                 0.9952,                  0.995,                0.98018,                0.25281,                0.31925,                0.89596,              0.0001015,              0.0001015,              0.0001015
                     18,                0.21137,                0.62667,                0.90438,                0.97692,                0.98335,                  0.995,                0.98207,                0.23217,                0.30901,                0.88481,               9.16e-05,               9.16e-05,               9.16e-05
                     19,                0.20403,                0.58998,                0.90495,                0.98612,                0.99316,                  0.995,                0.97783,                0.22772,                0.29938,                0.87093,               8.17e-05,               8.17e-05,               8.17e-05
                     20,                  0.195,                0.55616,                0.89153,                0.98689,                0.98967,                  0.995,                0.98298,                0.22928,                0.27851,                0.87491,               7.18e-05,               7.18e-05,               7.18e-05
                     21,                0.18481,                 0.5305,                0.88308,                0.97144,                0.99361,                  0.995,                0.98339,                0.22579,                0.27237,                0.86708,               6.19e-05,               6.19e-05,               6.19e-05
                     22,                0.18083,                0.51369,                0.88309,                0.98551,                 0.9931,                  0.995,                0.98526,                0.21219,                0.24278,                0.86222,                5.2e-05,                5.2e-05,                5.2e-05
                     23,                0.17526,                0.49548,                0.87665,                0.95794,                0.99514,                  0.995,                0.98292,                0.21729,                0.25185,                0.86728,               4.21e-05,               4.21e-05,               4.21e-05
                     24,                0.16961,                0.47947,                   0.88,                0.97004,                0.99105,                  0.995,                0.98375,                0.20384,                0.23732,                0.85587,               3.22e-05,               3.22e-05,               3.22e-05
                     25,                0.16669,                0.47343,                0.87803,                0.97225,                0.99165,                  0.995,                0.98327,                 0.2059,                0.23297,                0.85907,               2.23e-05,               2.23e-05,               2.23e-05
